Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,source,Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390.0,Delayed,27.0,67.8,Detour,38.0,320.0,4.0,,60.1,285.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491.0,In Transit,22.5,54.3,Heavy,16.0,439.0,7.0,Weather,80.9,174.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190.0,In Transit,25.2,62.2,Detour,34.0,355.0,3.0,,99.2,260.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-10-28 00:50:54,Truck_9,42.39,-1.4788,330.0,Delivered,25.4,52.3,Heavy,37.0,227.0,5.0,Traffic,97.4,160.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480.0,Delayed,20.5,57.2,Clear,56.0,197.0,6.0,,71.6,270.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118.0,In Transit,24.3,61.8,Clear,56.0,258.0,10.0,,66.8,189.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480.0,Delayed,20.7,75.4,Clear,32.0,263.0,3.0,,73.3,198.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222.0,In Transit,23.3,64.2,Detour,30.0,459.0,9.0,Traffic,73.8,253.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245.0,Delivered,26.4,77.2,Clear,14.0,183.0,2.0,,69.6,206.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389.0,In Transit,21.9,57.3,Clear,52.0,127.0,7.0,Mechanical Failure,63.1,224.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319.0,Delayed,22.0,53.5,Clear,28.0,360.0,4.0,,69.8,171.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234.0,Delivered,29.7,63.6,Detour,13.0,406.0,10.0,Traffic,85.5,238.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-02-17 21:14:42,Truck_8,-65.526,-3.0202,154.0,In Transit,21.5,74.2,Detour,38.0,215.0,3.0,Weather,84.4,114.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-03-04 06:44:50,Truck_2,-26.1836,-30.3641,348.0,Delivered,27.3,71.6,Detour,30.0,211.0,2.0,,96.4,115.0,0.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-08-28 12:19:14,Truck_3,2.6709,-80.8879,163.0,In Transit,25.1,76.8,Heavy,54.0,320.0,5.0,Weather,93.2,231.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
2024-01-04 22:52:43,Truck_5,-22.4793,-54.5143,130.0,Delayed,23.7,68.1,Clear,45.0,487.0,4.0,Traffic,84.1,256.0,1.0,smart_logistics,,,,,,,,,,,,,,,,,,,
