row_id,disruption_label,day_of_week,month,quarter,week_of_year,is_weekend,covid_period,days_since_last_disruption,rolling_7d_avg_delay,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Inventory_Level,Temperature,Humidity,Waiting_Time,Asset_Utilization,Demand_Forecast
0,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.47,10.0,4.66,5873.39,7991.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.25,6.7,5.73,913.12,1461.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.66,3.1,3.08,2097.16,2297.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.73,2.3,3.24,357.25,413.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.6,0.7,4.58,66994.4,7613.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.77,0.3,4.52,8630.52,9752.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.74,2.3,3.93,2815.32,3236.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.68,9.2,3.79,4402.44,5241.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.75,7.1,1.62,1953.88,2233.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.74,0.9,2.88,945.69,1087.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.64,2.9,3.79,1039.76,1268.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.24,2.0,2.66,234.98,379.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.27,8.8,4.11,5576.57,8782.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.22,4.0,5.12,187.27,307.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.67,3.0,3.33,5558.59,6657.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.88,7.7,2.81,31557.68,3052.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.5294118,0.83,3.6,1.44,11334.29,7742.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.5,0.51,2.3,5.01,6121.54,8108.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.47368422,0.24,1.0,6.11,40108.42,5881.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.45,0.28,9.1,3.47,1598.72,2498.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0476191,0.19,5.7,3.14,2827.44,2970.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,4.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.9,7.6,4.59,3624.25,3815.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.95652175,0.75,9.9,2.35,5510.75,6298.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9166667,0.74,4.8,3.62,987.45,1135.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.88,0.24,8.4,4.21,4111.22,6631.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.84615386,0.55,8.1,2.65,3489.83,4503.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8148148,0.43,1.5,1.87,39647.46,5041.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.78571427,0.65,1.3,5.3,3565.65,4322.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7586207,0.64,8.6,6.1,427.22,521.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
